drug_id,victim,enzyme,auc_fold,measure,quote,label,quote_confirmed_in_current_label,source_url
quinidine,desipramine,CYP2D6,8.0,steady-state Cmin,"Co-administration of dextromethorphan 30 mg/quinidine 30 mg with the tricyclic antidepressant desipramine, a CYP2D6 substrate, when desipramine was given at a dose of 25 mg once daily in 13 healthy volunteers resulted in an approximately 8-fold increase in steady state desipramine exposure",Nuedexta (dextromethorphan hydrobromide and quinidine sulfate),True,https://api.fda.gov/drug/label.json?search=openfda.generic_name%3A%22quinidine%22%20AND%20%22desipramine%22&limit=5
terbinafine,desipramine,CYP2D6,5.0,AUC,"In a study to assess the effects of terbinafine on desipramine in healthy volunteers characterized as normal metabolizers, the administration of terbinafine resulted in a 2-fold increase in Cmax and a 5-fold increase in area under the curve (AUC).",Lamisil (terbinafine hydrochloride),True,https://api.fda.gov/drug/label.json?search=openfda.generic_name%3A%22terbinafine%22%20AND%20%22desipramine%22&limit=5
darifenacin,desipramine,CYP2D6,3.6,AUC,"The mean Cmax and AUC of desipramine, the active metabolite of imipramine, were increased by 260%.",Enablex (darifenacin extended-release tablets),True,https://api.fda.gov/drug/label.json?search=openfda.generic_name%3A%22darifenacin%22%20AND%20%22desipramine%22&limit=5
duloxetine,desipramine,CYP2D6,3.0,AUC,"When duloxetine was administered (at a dose of 60 mg twice daily) in conjunction with a single 50 mg dose of desipramine, a CYP2D6 substrate, the AUC of desipramine increased 3-fold.",Cymbalta (duloxetine delayed-release capsules),True,https://api.fda.gov/drug/label.json?search=openfda.generic_name%3A%22duloxetine%22%20AND%20%22desipramine%22&limit=5
escitalopram,desipramine,CYP2D6,2.0,AUC,"Coadministration of escitalopram (20 mg/day for 21 days) with the tricyclic antidepressant desipramine (single dose of 50 mg), a substrate for CYP2D6, resulted in a 40% increase in Cmax and a 100% increase in AUC of desipramine.",Lexapro (escitalopram oxalate),True,https://api.fda.gov/drug/label.json?search=openfda.generic_name%3A%22escitalopram%22%20AND%20%22desipramine%22&limit=5
