drug_id,enzyme,role,strength
ivacaftor,CYP3A,inhibitor,weak
ivosidenib,CYP3A,inducer,strong
ketoconazole,CYP3A,inhibitor,strong
labetalol,CYP2D6,inhibitor,weak
lansoprazole,CYP2C19,substrate,moderately_sensitive
larotrectinib,CYP3A,inhibitor,weak
larotrectinib,CYP3A,substrate,moderately_sensitive
lazertinib,CYP3A,inhibitor,weak
lemborexant,CYP2B6,inducer,weak
lemborexant,CYP3A,substrate,sensitive
leniolisib,CYP3A,substrate,moderately_sensitive
lomitapide,CYP3A,inhibitor,weak
lomitapide,CYP3A,substrate,sensitive
loperamide,CYP2C8,substrate,moderately_sensitive
loperamide,CYP3A,substrate,moderately_sensitive
lopinavir_and_ritonavir,CYP3A,inhibitor,strong
lorcaserin,CYP2D6,inhibitor,moderate
lorlatinib,CYP2B6,inducer,weak
lorlatinib,CYP2C9,inducer,weak
lorlatinib,CYP3A,inducer,moderate
lovastatin,CYP3A,substrate,sensitive
lumacaftor_and_ivacaftor,CYP3A,inducer,strong
lurasidone,CYP3A,substrate,sensitive
maraviroc,CYP3A,substrate,sensitive
melatonin,CYP1A2,substrate,sensitive
methoxsalen,CYP1A2,inhibitor,moderate
metoprolol,CYP2D6,substrate,moderately_sensitive
mexiletine,CYP1A2,inhibitor,moderate
miconazole,CYP2C9,inhibitor,moderate
midazolam,CYP3A,substrate,sensitive
mirabegron,CYP2D6,inhibitor,moderate
mitotane,CYP3A,inducer,strong
mobocertinib,CYP3A,inducer,weak
mobocertinib,CYP3A,substrate,sensitive
modafinil,CYP3A,inducer,weak
montelukast,CYP2C8,substrate,moderately_sensitive
naloxegol,CYP3A,substrate,sensitive
nebivolol,CYP2D6,substrate,sensitive
nefazodone,CYP3A,inhibitor,strong
nelfinavir,CYP3A,inhibitor,strong
nevirapine,CYP2B6,inducer,weak
nisoldipine,CYP3A,substrate,sensitive
nortriptyline,CYP2D6,substrate,moderately_sensitive
omeprazole,CYP2C19,inhibitor,weak
omeprazole,CYP2C19,substrate,sensitive
oral_contraceptives,CYP1A2,inhibitor,moderate
paritaprevir_and_ritonavir_and_ombitasvir_and_or_dasabuvir,CYP3A,inhibitor,strong
paroxetine,CYP2D6,inhibitor,strong
peginterferon_alpha_2a,CYP1A2,inhibitor,weak
perphenazine,CYP2D6,substrate,sensitive
pexidartinib,CYP3A,inducer,moderate
phenobarbital,CYP3A,inducer,moderate
phenytoin,CYP1A2,inducer,moderate
phenytoin,CYP2C19,inducer,moderate
phenytoin,CYP2C9,substrate,moderately_sensitive
phenytoin,CYP3A,inducer,strong
pimozide,CYP2D6,substrate,moderately_sensitive
pimozide,CYP3A,substrate,moderately_sensitive
pioglitazone,CYP2C8,substrate,moderately_sensitive
piperine,CYP1A2,inhibitor,weak
piperine,CYP2C9,inhibitor,moderate
pirfenidone,CYP1A2,substrate,moderately_sensitive
pirtobrutinib,CYP2C19,inhibitor,weak
pirtobrutinib,CYP2C8,inhibitor,moderate
pirtobrutinib,CYP3A,inhibitor,weak
posaconazole,CYP3A,inhibitor,strong
pralsetinib,CYP3A,substrate,moderately_sensitive
primidone,CYP3A,inducer,moderate
propafenone,CYP2D6,substrate,moderately_sensitive
propranolol,CYP2D6,substrate,moderately_sensitive
quetiapine,CYP3A,substrate,sensitive
quinidine,CYP2D6,inhibitor,strong
r_venlafaxine,CYP2D6,substrate,sensitive
rabeprazole,CYP2C19,substrate,moderately_sensitive
ramelteon,CYP1A2,substrate,sensitive
ranitidine,CYP3A,inhibitor,weak
